doc_id,entity,label
nyasatimes_8,Malawi VP Chilima,ORG
nyasatimes_8,Saulos Klaus,PERSON
nyasatimes_8,Disaster Management Affairs,ORG
nyasatimes_8,Wednesday,DATE
nyasatimes_8,Kasantha,GPE
nyasatimes_8,Kaporo,GPE
nyasatimes_8,Traditional Authority,ORG
nyasatimes_8,Kilupula,PERSON
nyasatimes_8,Karonga,GPE
nyasatimes_8,Chilima,PERSON
nyasatimes_8,Kilupula,PERSON
nyasatimes_8,Karonga,GPE
nyasatimes_8,today,DATE
nyasatimes_8,Kilupula,PERSON
nyasatimes_8,the Department of Disaster Management Affairs,ORG
nyasatimes_8,Kilupula,PERSON
nyasatimes_8,last week,DATE
nyasatimes_8,Lufilya, Fwila and Kyungu,ORG
nyasatimes_8,three,CARDINAL
nyasatimes_8,three,CARDINAL
nyasatimes_8,Mzuzu Central Hospital,ORG
nyasatimes_9,260,CARDINAL
nyasatimes_9,Blantyre,GPE
nyasatimes_9,Blantyre Disaster Management Officer,ORG
nyasatimes_9,Walusungu,ORG
nyasatimes_9,Tuesday,DATE
nyasatimes_9,about 260,CARDINAL
nyasatimes_9,late last year,DATE
nyasatimes_9,Mwafulirwa,ORG
nyasatimes_9,between 24 and,DATE
nyasatimes_9,29December, 2017,DATE
nyasatimes_9,260,CARDINAL
nyasatimes_9,Traditional Authority Somba,ORG
nyasatimes_9,Kapeni,GPE
nyasatimes_9,K3.2 million,CARDINAL
nyasatimes_9,last year,DATE
nyasatimes_9,260,CARDINAL
nyasatimes_9,next week,DATE
nyasatimes_9,Blantyre,PERSON
nyasatimes_9,Malawians,NORP
nyasatimes_9,Blantyre District,PERSON
nyasatimes_9,K1.5 billion,MONEY
nyasatimes_9,2017/2018,DATE
nyasatimes_9,“This year alone,DATE
nyasatimes_9,K728.3 million,CARDINAL
nyasatimes_9,K566.4 million,PERSON
nyasatimes_9,K20.3 million,CARDINAL
nyasatimes_9,Mwafulirwa,ORG
malawi24_6,Malawians,NORP
malawi24_6,Malawi,GPE
malawi24_6,Congo,GPE
malawi24_6,Malawi,ORG
malawi24_6,Malawi,ORG
malawi24_6,Lilongwe,PERSON
malawi24_6,Sunday,DATE
malawi24_6,Lilongwe,PERSON
malawi24_6,Mtandire Township,GPE
malawi24_6,Saulos Chilima,PERSON
malawi24_6,this afternoon,TIME
malawi24_5,three,CARDINAL
malawi24_5,Three,CARDINAL
malawi24_5,Karonga,GPE
malawi24_5,last week,DATE
malawi24_5,the Department of Disaster Management Affairs,ORG
malawi24_5,three,CARDINAL
malawi24_5,818,CARDINAL
malawi24_5,approximately 4499,CARDINAL
malawi24_5,Three,CARDINAL
malawi24_5,Wednesday,DATE
malawi24_5,Saulos Klaus,PERSON
malawi24_5,Malawi,PERSON
malawi24_5,Arthur Peter Mutharika,PERSON
malawi24_5,Chilima,GPE
malawi24_5,the Karonga District Council,ORG
malawi24_5,K100,DATE
malawi24_5,000,CARDINAL
malawi24_5,Chilima,GPE
malawi24_5,Kasantha,PERSON
malawi24_5,Kapolo,GPE
malawi24_5,Changwina Bridge,FAC
malawi24_5,Katumbi,PERSON
malawi24_5,Mulindafwa Villages,PERSON
malawi24_5,Kilipula,PERSON
malawi24_5,Chilima,GPE
malawi24_5,Karonga District Council,ORG
malawi24_5,568,CARDINAL
malawi24_5,Kilipula,PERSON
malawi24_5,253,CARDINAL
malawi24_5,35,CARDINAL
